planet_id,planet_name,mass,radius,density,t_eq,flux,distance_to_star,period,habitable_score,star_name,temperature,st_rad,st_mass,st_metalicity,st_lum,st_spectral_type,st_subclass
K2117BK2117,K2-117 b,776.1323276277063,2.03,3.14,868.0,145.8,0.0189,1.2916,0.0,K2-117,3778.0,0.51,0.54,-0.05,-1.35655,M,1.0
K2117CK2117,K2-117 c,776.1323276277063,2.06,3.08,537.0,21.4,0.0492,5.444017,0.0,K2-117,3778.0,0.51,0.54,-0.05,-1.35655,M,1.0
K2119BK2119,K2-119 b,776.1323276277063,2.53,2.35,666.0,54.9,0.0698,7.727283,0.0,K2-119,4740.0,0.71,0.76,-0.05,-0.68533,K,0.0
K2165DK2165,K2-165 d,776.1323276277063,2.64809498,2.22,629.38,37.0819,3.1038542456009397,14.101361,0.0,K2-165,5185.0,0.803827,0.834847,-0.05,-0.36982,K,0.0
K2165BK2165,K2-165 b,776.1323276277063,1.27443657,5.76,810.0,419.6014612575567,3.1038542456009397,2.354992,0.0,K2-165,5185.0,0.803827,0.834847,-0.05,-0.36982,K,0.0
K2165CK2165,K2-165 c,776.1323276277063,1.55409035,4.44,810.0,419.6014612575567,3.1038542456009397,4.382745,0.0,K2-165,5185.0,0.803827,0.834847,-0.05,-0.36982,K,0.0
K2226BK2226,K2-226 b,776.1323276277063,1.53899305,4.49,1187.0,419.6014612575567,0.04095,3.27109,0.0,K2-226,5288.0,0.889,0.856,-0.05,-0.25337,K,0.0
K2341BK2341,K2-341 b,776.1323276277063,3.21,1.73,598.0,419.6014612575567,3.1038542456009397,36.552551,0.0,K2-341,5817.0,1.16,0.98,-0.05,0.12566,G,0.0
K2352BK2352,K2-352 b,776.1323276277063,1.37,5.24,1160.0,419.6014612575567,3.1038542456009397,3.665912,0.0,K2-352,5791.0,0.95,0.98,-0.05,-0.06326,G,0.0
K2352DK2352,K2-352 d,776.1323276277063,2.23,2.77,727.0,419.6014612575567,3.1038542456009397,14.871387,0.0,K2-352,5791.0,0.95,0.98,-0.05,-0.06326,G,0.0
K2352CK2352,K2-352 c,776.1323276277063,1.92,3.38,885.0,419.6014612575567,3.1038542456009397,8.234885,0.0,K2-352,5791.0,0.95,0.98,-0.05,-0.06326,G,0.0
KEPLER1018BKEPLER1018,Kepler-1018 b,776.1323276277063,2.58,2.3,498.0,12.098,0.253,49.1013514,0.0,Kepler-1018,5518.0,0.88,0.91,-0.05,-0.08221,G,0.0
KEPLER1021BKEPLER1021,Kepler-1021 b,776.1323276277063,2.33,2.62,634.0,50.37,0.1034,13.47469571,0.0,Kepler-1021,5431.0,0.86,0.89,-0.05,-0.28836,G,0.0
KEPLER1167BKEPLER1167,Kepler-1167 b,776.1323276277063,1.71,3.92,1419.0,1039.697,0.0175,1.003933739,0.0,Kepler-1167,4971.0,0.75,0.79,-0.05,-0.53589,K,0.0
KEPLER1178BKEPLER1178,Kepler-1178 b,776.1323276277063,1.07,5.56,378.0,23.237,0.1596,31.80634,0.0,Kepler-1178,4990.0,0.75,0.8,-0.05,-0.27723,K,0.0
KEPLER1242BKEPLER1242,Kepler-1242 b,776.1323276277063,2.26,2.73,639.0,28.998,0.1039,13.62798432,0.0,Kepler-1242,4895.0,0.74,0.77,-0.05,-0.51639,K,0.0
KEPLER1247BKEPLER1247,Kepler-1247 b,776.1323276277063,2.33,2.62,676.0,41.472,0.1091,13.71220213,0.0,Kepler-1247,5303.0,0.82,0.86,-0.05,-0.34527,G,0.0
KEPLER1287BKEPLER1287,Kepler-1287 b,776.1323276277063,1.54,4.5,796.0,78.156,0.0976,11.47685909,0.0,Kepler-1287,5715.0,0.94,0.96,-0.05,-0.09078,G,0.0
KEPLER1304BKEPLER1304,Kepler-1304 b,776.1323276277063,2.29,2.68,715.0,61.87,0.1202,16.1288853,0.0,Kepler-1304,5259.0,0.81,0.85,-0.05,0.63938,K,0.0
KEPLER1413BKEPLER1413,Kepler-1413 b,776.1323276277063,1.82,3.62,661.0,42.825,0.1066,13.1829642,0.0,Kepler-1413,5196.0,0.8,0.84,-0.05,-0.39085,K,0.0
KEPLER1457BKEPLER1457,Kepler-1457 b,776.1323276277063,1.99,3.22,478.0,23.468,0.26391,51.1110243,0.0,Kepler-1457,5866.0,1.01,1.01,-0.05,0.21547,G,0.0
KEPLER1500BKEPLER1500,Kepler-1500 b,776.1323276277063,1.2,5.95,928.0,131.818,0.1236,15.0330105,0.0,Kepler-1500,5845.0,1.0,1.0,-0.05,0.27456,G,0.0
KEPLER1506BKEPLER1506,Kepler-1506 b,776.1323276277063,1.32,5.5,783.0,235.807,0.1168,14.0329154,0.0,Kepler-1506,5676.0,0.93,0.95,-0.05,0.42561,G,0.0
KEPLER1521BKEPLER1521,Kepler-1521 b,776.1323276277063,2.5,2.39,391.0,5.122,0.23476,47.14840805,0.0,Kepler-1521,5042.0,0.76,0.81,-0.05,-0.5691,K,0.0
KEPLER191DKEPLER191,Kepler-191 d,776.1323276277063,2.28,2.7,857.0,99.6,0.06104,5.945041017,0.0,Kepler-191,5282.0,0.789,0.857,0.13,-0.4145,K,0.0
